network_id,name,created_at,chain_number,chain_rpc,explorer_api_prefix,explorer_api_key,explorer_tx_url,explorer_type,symbol,max_gas,min_gas,is_valid
1,ethereum,2022-09-25 15:44:12,1,https://rpc.ankr.com/eth,https://api.etherscan.io,P9V56281GVUXJB7V7D5TQPI6HF9TPNGUJ6,https://etherscan.io,scan,ETH,0.1,0.01,1
2,bsc,2022-09-25 15:44:12,56,https://bsc-dataseed1.binance.org,https://api.bscscan.com,1TQ1MQZF7MXTFCH6RGZDQE7YGVUJ1MURF8,https://bscscan.com,scan,BNB,5,1,1
3,polygon,2022-09-25 15:44:12,137,https://polygon-rpc.com/,https://api.polygonscan.com,W9VBAY3ITBV5J8MC5EB2VYF9E77VANJCH3,https://polygonscan.com,scan,MATIC,5,1,1
4,avalanche,2022-09-25 15:44:12,43114,https://api.avax.network/ext/bc/C/rpc,https://api.snowtrace.io,5IW5QBE9QMQM3IJRHPKUTB4CWZ1JU1FS8R,https://snowtrace.io,scan,WAVAX,0.1,0.01,1
5,fantom,2022-09-25 15:44:12,250,https://rpc.ankr.com/fantom,https://api.ftmscan.com,35XFJZ295M8G38F88WGE68Q7QWNIXYEKN8,https://ftmscan.com,scan,FTM,5,1,1
6,harmony,2022-09-25 15:44:12,1666600000,https://rpc.ankr.com/harmony,N/A,N/A,https://explorer.harmony.one,scan,ONE,5,1,1
7,cronos,2022-09-25 15:44:12,25,https://evm.cronos.org,https://api.cronoscan.com,JWPMH497JZCPCKBPMWY1RVT1PNCWRKV4BV,https://cronoscan.com,scan,CRO,5,1,1
8,osmosis,2022-09-25 15:44:12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
9,aurora,2022-09-25 15:44:12,1313161554,https://mainnet.aurora.dev,https://api.aurorascan.dev,IN6MH1YH6PX3UXHFNPKF2EN9ESATU6KR2V,https://aurorascan.dev,scan,ETH,5,1,1
10,moonriver,2022-09-25 15:44:12,1285,https://rpc.api.moonriver.moonbeam.network,https://api.moonriver.moonscan.io,P48EER48VRVHHVZ4F55DTJASWQ9AVTEX5W,https://moonriver.moonscan.io,scan,MOVR,5,1,1
11,moonbeam,2022-09-25 15:44:12,1284,https://rpc.api.moonbeam.network,https://api-moonbeam.moonscan.io,7W93PW6TK1J71H3FGHRFBP3D4I397XRS38,https://moonbeam.moonscan.io,scan,GLMR,5,1,1
12,metis,2022-09-25 15:44:12,1088,https://andromeda.metis.io/?owner=1088,N/A,N/A,https://andromeda-explorer.metis.io,blockscout,METIS,5,1,1
13,arbitrum,2022-09-25 15:44:12,42161,https://1rpc.io/arb,https://api.arbiscan.io,2PUF8EA9HP3X86WP3G2AP6Z5QUBDSGPPBJ,https://arbiscan.io,scan,ETH,5,1,1
14,optimism,2022-09-25 15:44:12,10,https://mainnet.optimism.io/,https://api-optimistic.etherscan.io,M3GWTP6MDNC229NR183DB1RQJ4BUKF5HFZ,https://optimistic.etherscan.io,scan,ETH,5,1,1
15,dogechain,2022-09-25 15:44:12,2000,https://rpc-us.dogechain.dog,N/A,N/A,https://dogechain.info/,custom,DOGE,5,1,1
16,heco,2022-09-25 15:44:12,128,https://http-mainnet.hecochain.com,N/A,N/A,https://scan.hecochain.com,custom,HT,5,1,1
17,oasisemerald,2022-09-25 15:44:12,42262,https://emerald.oasis.dev,N/A,N/A,https://explorer.emerald.oasis.dev,blockscout,ROSE,5,1,1
18,astar,2022-09-25 15:44:12,592,https://astar.public.blastapi.io,N/A,N/A,https://astar.subscan.io/extrinsic,custom,ASTR,5,1,1
19,evmos,2022-09-25 15:44:12,9001,https://eth.bd.evmos.org:8545,N/A,N/A,https://evm.evmos.org,blockscout,EVMOS,5,1,1
